1995,1060 W Addison St,"(41.947232; -87.656416)"
4239,1340 W 71st Pl,"(41.764202; -87.658003)"
3621,2001 N Orchard St,"(41.918318; -87.646035)"
4850,1659 W North Ave,"(41.910463; -87.669429)"
1198,1531 N Damen Ave,"(41.909145; -87.677284)"
5992,1800 S Ashland Ave,"(41.85769; -87.666292)"
3257,2019 W Lawrence Ave,"(41.968616; -87.679761)"
3777,2022 W Roscoe St,"(41.94333; -87.679313)"
3071,1 N Karlov Ave,"(41.880839; -87.727945)"
836,2207 W Montrose Ave,"(41.96125; -87.684159)"
3664,1713 W Polk St,"(41.871429; -87.669891)"
5050,2258 W Erie St,"(41.893202; -87.68328)"
4727,2000 S Pulaski Rd,"(41.853963; -87.724954)"
2301,216 W Cermak Rd,"(41.853061; -87.632491)"
1565,2116 W 95th St,"(41.721229; -87.675431)"
1437,1156 E 56th St,"(41.793383; -87.597777)"
3206,1155 S Lake Shore Dr,"(41.868447; -87.617585)"
6331,1000 N Lake Shore Dr,"(41.900858; -87.624232)"
3321,2148 N Long Ave,"(41.919731; -87.761099)"
2918,1758 W Greenleaf Ave,"(42.010329; -87.674549)"
4336,2236 N Rockwell St,"(41.922801; -87.692963)"
410,1924 W North Ave,"(41.910631; -87.675968)"
6997,131 S Wabash Ave,"(41.880345; -87.625941)"
4272,13209 S Baltimore Ave,"(41.655201; -87.546942)"
1041,1030 N Orleans St,"(41.901406; -87.637471)"
4651,223 N Keeler Ave,"(41.884051; -87.730475)"
6384,126 E Chestnut St,"(41.898509; -87.624677)"
3457,180 S Michigan Ave,"(41.879797; -87.624608)"
2131,1500 W Belmont Ave,"(41.939862; -87.666453)"
5178,1431 N Leamington Ave,"(41.906512; -87.75444)"
6408,19 N Wells St,"(41.882202; -87.633652)"
871,123 N Wacker Dr,"(41.883944; -87.636685)"
5492,1825 W Irving Park Rd,"(41.954053; -87.674818)"
3549,1507 W Morse Ave,"(42.007738; -87.668173)"
5811,1935 W Chicago Ave,"(41.895882; -87.675955)"
2593,1851 W Division St,"(41.903092; -87.674143)"
1337,1420 W 17th St,"(41.858914; -87.661987)"
3103,2240 N Kilbourn Ave,"(41.921786; -87.739089)"
4282,1949 N Hoyne Ave,"(41.917221; -87.679895)"
3262,1455 N Leamington Ave,"(41.906866; -87.754447)"
6517,1566 N Damen Ave,"(41.909712; -87.677631)"
28,2135 N Rockwell St,"(41.920838; -87.692548)"
388,1601 S Morgan St,"(41.859661; -87.650735)"
6308,1702 N Milwaukee Ave,"(41.912257; -87.680573)"
3405,11301 S Michigan Ave,"(41.688872; -87.620879)"
2613,13100 S Doty Ave,"(41.657627; -87.591959)"
4840,1957 W Addison St,"(41.946748; -87.677464)"
6601,10337 S Kedzie Ave,"(41.705444; -87.701232)"
662,2030 W Chicago Ave,"(41.896062; -87.677949)"
3027,1821 S Indiana Ave,"(41.857461; -87.622127)"
4653,1600 N Lake Shore Dr,"(41.913555; -87.623275)"
5184,201 E 111th St,"(41.692535; -87.617711)"
620,1402 W Grand Ave,"(41.891151; -87.66252)"
1227,1516 N Milwaukee Ave,"(41.909224; -87.6759)"
6998,105 S Wabash Ave,"(41.880608; -87.625951)"
4514,1729 S Halsted St,"(41.85817; -87.646558)"
4125,11828 S Western Ave,"(41.678349; -87.680919)"
5840,1801 S Indiana Ave,"(41.857653; -87.622132)"
4891,2234 N Western Ave,"(41.922766; -87.687711)"
3128,1556 N Kostner Ave,"(41.908816; -87.736463)"
4445,10538 S Langley Ave,"(41.702472; -87.606477)"
5491,1635 W Division St,"(41.90317; -87.668937)"
3934,1840 S Throop St,"(41.856795; -87.659005)"
4650,1750 W Balmoral Ave,"(41.979904; -87.673296)"
6916,2252 N Western Ave,"(41.922892; -87.687758)"
971,100 S Wacker Dr,"(41.880514; -87.637106)"
1328,200 E 115th St,"(41.685475; -87.617893)"
6356,2101 N Hoyne Ave,"(41.920092; -87.680056)"
3445,150 N Michigan Ave,"(41.884603; -87.624604)"
4633,2001 N Western Ave,"(41.917621; -87.687326)"
413,1427 E 60th St,"(41.785941; -87.590871)"
3063,1523 W Jarvis Ave,"(42.015888; -87.668733)"
1445,1200 E 63rd St,"(41.780621; -87.596033)"
3755,10 S Riverside Plz,"(41.881674; -87.638874)"
4676,1619 W Edgewater Ave,"(41.985797; -87.670427)"
5021,155 N Michigan Ave,"(41.884663; -87.624265)"
5820,1670 W Division St,"(41.903329; -87.66998)"
3399,11133 S Michigan Ave,"(41.692044; -87.620836)"
6254,212 E 83rd St,"(41.743869; -87.619242)"
5495,2145 W Irving Park Rd,"(41.953963; -87.682725)"
3965,214 S Wabash Ave,"(41.879235; -87.626261)"
6316,1960 N Damen Ave,"(41.917312; -87.677784)"
5837,2110 E 72nd St,"(41.763562; -87.574219)"
1453,20 E 63rd St,"(41.780158; -87.624668)"
2913,1119 W Granville Ave,"(41.994383; -87.658816)"
7075,222 W Superior St,"(41.895736; -87.63459)"
3525,201 W Monroe St,"(41.880581; -87.63394)"
3452,11224 S Michigan Ave,"(41.690099; -87.621192)"
6043,1329 W Wilson Ave,"(41.965181; -87.663385)"
7425,1979 W Monterey Ave,"(41.691691; -87.670161)"
4041,2045 W Washington Blvd,"(41.883007; -87.677797)"
1341,1201 W 18th St,"(41.857856; -87.65656)"
6412,230 W Washington St,"(41.883341; -87.634366)"
6086,100 N Riverside Plz,"(41.883322; -87.638644)"
6912,2039 N Western Ave,"(41.918723; -87.68727)"
4805,1858 W Wabansia Ave,"(41.912476; -87.674374)"
579,2204 W North Ave,"(41.910507; -87.68264)"
2504,1824 W Cullerton St,"(41.855113; -87.671735)"
1098,2122 W Taylor St,"(41.869205; -87.679101)"
3639,2015 S Peoria St,"(41.855085; -87.647992)"
6407,10 S Riverside Plz,"(41.881674; -87.638874)"
3745,1845 W Rice St,"(41.896762; -87.673306)"
3146,140 W Lake St,"(41.885916; -87.632189)"
3000,11071 S Hoyne Ave,"(41.692458; -87.674035)"
6168,116 S Michigan Ave,"(41.880621; -87.624573)"
5337,2127 W Belmont Ave,"(41.939403; -87.68155)"
5870,1000 N California Ave,"(41.899386; -87.696928)"
5463,1700 W Lawrence Ave,"(41.968971; -87.671192)"
1987,200 W Adams St,"(41.879492; -87.63392)"
4205,1439 W 18th St,"(41.857751; -87.662825)"
4979,1901 S Loomis St,"(41.855962; -87.66113)"
2940,1 S Halsted St,"(41.881643; -87.647206)"
3449,221 S Michigan Ave,"(41.87928; -87.624073)"
2115,13303 S Baltimore Ave,"(41.653444; -87.547004)"
2944,2262 N Halsted St,"(41.922858; -87.648866)"
3565,2000 W North Ave,"(41.910507; -87.677593)"
4259,10532 S Ewing Ave,"(41.703904; -87.535443)"
3447,224 S Michigan Ave,"(41.879164; -87.624594)"
1574,2154 E 97th St,"(41.718099; -87.572677)"
222,1914 W Chicago Ave,"(41.896105; -87.675223)"
5368,1435 N Wells St,"(41.90824; -87.634451)"
4061,150 N Wells St,"(41.884533; -87.63399)"
1305,115 W 108th St,"(41.696967; -87.626143)"
1063,1276 N Clybourn Ave,"(41.905237; -87.641797)"
3784,1011 N Rush St,"(41.901144; -87.627509)"
2092,1936 W Augusta Blvd,"(41.8997; -87.676128)"
1256,1854 W North Ave,"(41.910661; -87.674265)"
5879,1337 N Wells St,"(41.906867; -87.634403)"
3331,1932 W Lunt Ave,"(42.009019; -87.678854)"
4403,1354 W Wabansia Ave,"(41.913872; -87.662274)"
6000,1521 S Wabash Ave,"(41.861399; -87.625478)"
3775,2032 W Roscoe St,"(41.943285; -87.679822)"
1202,1586 N Damen Ave,"(41.909922; -87.6776)"
6132,1422 N Ashland Ave,"(41.907525; -87.667698)"
6358,1458 W Taylor St,"(41.869467; -87.663035)"
4871,1501 N Greenview Ave,"(41.908971; -87.665035)"
5860,1018 N California Ave,"(41.899832; -87.696992)"
